Role Recommendation,Associated Entitlements,Frequency
role1,Approve Loans,2143
role2,Fraud Monitoring,1581
role3,"Fraud Monitoring,Approve Loans",1171
role4,Manage Safe Deposit Boxes,1573
role5,"Manage Safe Deposit Boxes,Fraud Monitoring",1266
role6,"Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",936
role7,"Manage Safe Deposit Boxes,Approve Loans",1164
role8,Customer Service Chat,1552
role9,"Customer Service Chat,Manage Safe Deposit Boxes",1237
role10,"Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring",930
role11,"Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",696
role12,"Customer Service Chat,Manage Safe Deposit Boxes,Approve Loans",924
role13,"Customer Service Chat,Fraud Monitoring",1245
role14,"Customer Service Chat,Fraud Monitoring,Approve Loans",931
role15,"Customer Service Chat,Approve Loans",1159
role16,Loan Underwriting,1533
role17,"Loan Underwriting,Manage Safe Deposit Boxes",863
role18,"Loan Underwriting,Manage Safe Deposit Boxes,Fraud Monitoring",690
role19,"Loan Underwriting,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",638
role20,"Loan Underwriting,Manage Safe Deposit Boxes,Approve Loans",793
role21,"Loan Underwriting,Fraud Monitoring",861
role22,"Loan Underwriting,Fraud Monitoring,Approve Loans",792
role23,"Loan Underwriting,Customer Service Chat",854
role24,"Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes",683
role25,"Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring",510
role26,"Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",476
role27,"Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes,Approve Loans",631
role28,"Loan Underwriting,Customer Service Chat,Fraud Monitoring",681
role29,"Loan Underwriting,Customer Service Chat,Fraud Monitoring,Approve Loans",630
role30,"Loan Underwriting,Customer Service Chat,Approve Loans",785
role31,"Loan Underwriting,Approve Loans",1390
role32,Account Closure Management,1519
role33,"Account Closure Management,Manage Safe Deposit Boxes",865
role34,"Account Closure Management,Manage Safe Deposit Boxes,Fraud Monitoring",695
role35,"Account Closure Management,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",643
role36,"Account Closure Management,Manage Safe Deposit Boxes,Approve Loans",795
role37,"Account Closure Management,Loan Underwriting",1215
role38,"Account Closure Management,Loan Underwriting,Manage Safe Deposit Boxes",683
role39,"Account Closure Management,Loan Underwriting,Manage Safe Deposit Boxes,Fraud Monitoring",552
role40,"Account Closure Management,Loan Underwriting,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",500
role41,"Account Closure Management,Loan Underwriting,Manage Safe Deposit Boxes,Approve Loans",613
role42,"Account Closure Management,Loan Underwriting,Fraud Monitoring",693
role43,"Account Closure Management,Loan Underwriting,Fraud Monitoring,Approve Loans",624
role44,"Account Closure Management,Loan Underwriting,Customer Service Chat",675
role45,"Account Closure Management,Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes",534
role46,"Account Closure Management,Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring",403
role47,"Account Closure Management,Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",369
role48,"Account Closure Management,Loan Underwriting,Customer Service Chat,Manage Safe Deposit Boxes,Approve Loans",482
role49,"Account Closure Management,Loan Underwriting,Customer Service Chat,Fraud Monitoring",544
role50,"Account Closure Management,Loan Underwriting,Customer Service Chat,Fraud Monitoring,Approve Loans",493
role51,"Account Closure Management,Loan Underwriting,Customer Service Chat,Approve Loans",606
role52,"Account Closure Management,Loan Underwriting,Approve Loans",1072
role53,"Account Closure Management,Fraud Monitoring",875
role54,"Account Closure Management,Fraud Monitoring,Approve Loans",806
role55,"Account Closure Management,Customer Service Chat",860
role56,"Account Closure Management,Customer Service Chat,Manage Safe Deposit Boxes",680
role57,"Account Closure Management,Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring",510
role58,"Account Closure Management,Customer Service Chat,Manage Safe Deposit Boxes,Fraud Monitoring,Approve Loans",476
role59,"Account Closure Management,Customer Service Chat,Manage Safe Deposit Boxes,Approve Loans",628
role60,"Account Closure Management,Customer Service Chat,Fraud Monitoring",690
role61,"Account Closure Management,Customer Service Chat,Fraud Monitoring,Approve Loans",639
role62,"Account Closure Management,Customer Service Chat,Approve Loans",791
role63,"Account Closure Management,Approve Loans",1376
